"treatment","species","plant","week","stomatasize_mm2","sd_mm2"
"A","B",1,1,1.6546682,249.469214437367
"A","B",1,2,1.3832236,228.237791932059
"A","B",1,3,NA,NA
"A","B",2,1,1.5054958,244.16135881104
"A","B",2,2,1.3516299,191.082802547771
"A","B",2,3,0.8978379,249.469214437367
"A","B",3,1,1.9036334,233.545647558386
"A","B",3,2,1.2813325,297.23991507431
"A","B",3,3,0.9831682,260.084925690021
"A","B",4,1,1.6770552,244.16135881104
"A","B",4,2,1.2946317,228.237791932059
"A","B",4,3,0.9371873,286.624203821656
"A","B",5,1,NA,276.008492569002
"A","B",5,2,1.5540216,222.929936305732
"A","B",5,3,NA,249.469214437367
"A","B",6,1,0.9725176,345.010615711253
"A","B",6,2,1.8674909,217.622080679405
"A","B",6,3,0.9707449,286.624203821656
"A","B",7,1,NA,265.392781316348
"A","B",7,2,1.6980768,307.855626326964
"A","B",7,3,NA,NA
"A","B",8,1,NA,212.314225053079
"A","B",8,2,1.8864456,260.084925690021
"A","B",8,3,NA,307.855626326964
"A","B",9,1,1.3991939,244.16135881104
"A","B",9,2,1.7186558,233.545647558386
"A","B",9,3,NA,286.624203821656
"A","B",10,1,1.1853014,302.547770700637
"A","B",10,2,1.3109523,276.008492569002
"A","B",10,3,1.1761678,260.084925690021
"A","B",11,1,1.2798639,318.471337579618
"A","B",11,2,1.3612456,265.392781316348
"A","B",11,3,0.9780551,329.087048832272
"A","B",12,1,1.1137528,260.084925690021
"A","B",12,2,1.1664407,228.237791932059
"A","B",12,3,1.234685,254.777070063694
"A","B",13,1,1.070622,387.473460721868
"A","B",13,2,1.09061,366.24203821656
"A","B",13,3,0.9656834,313.163481953291
"A","B",14,1,1.5792269,212.314225053079
"A","B",14,2,1.421227,286.624203821656
"A","B",14,3,1.0953555,297.23991507431
"A","B",15,1,1.6808891,191.082802547771
"A","B",15,2,1.1652832,313.163481953291
"A","B",15,3,1.1052198,254.777070063694
"A","B",16,1,1.1464064,228.237791932059
"A","B",16,2,1.580998,276.008492569002
"A","B",16,3,1.2996247,175.15923566879
"A","B",17,1,1.0861704,339.702760084926
"A","B",17,2,1.1462473,334.394904458599
"A","B",17,3,1.1785952,281.316348195329
"A","B",18,1,1.2649756,249.469214437367
"A","B",18,2,1.2389846,307.855626326964
"A","B",18,3,1.5519103,212.314225053079
"A","B",19,1,1.3683295,222.929936305732
"A","B",19,2,1.2288884,291.932059447983
"A","B",19,3,1.0386533,270.700636942675
"A","B",20,1,1.185715,323.779193205945
"A","B",20,2,1.1024889,302.547770700637
"A","B",20,3,1.3113505,270.700636942675
"A","P",1,1,2.3981035,238.853503184713
"A","P",1,2,2.1346727,419.32059447983
"A","P",1,3,1.2804913,467.091295116773
"A","P",1,4,1.5961691,552.016985138004
"A","P",2,1,2.463124,297.23991507431
"A","P",2,2,1.8727466,451.167728237792
"A","P",2,3,1.5666417,488.322717622081
"A","P",2,4,1.4265975,509.554140127389
"A","P",3,1,1.6165701,642.250530785563
"A","P",3,2,NA,578.556263269639
"A","P",3,3,1.53989,451.167728237792
"A","P",3,4,1.3350441,557.324840764331
"A","P",4,1,1.7217595,557.324840764331
"A","P",4,2,2.04729,376.857749469214
"A","P",4,3,1.687535,398.089171974522
"A","P",4,4,1.568795,456.475583864119
"A","P",5,1,2.1005959,578.556263269639
"A","P",5,2,1.9551903,525.477707006369
"A","P",5,3,1.6630019,451.167728237792
"A","P",5,4,1.4718499,477.707006369427
"A","P",6,1,1.8758608,525.477707006369
"A","P",6,2,2.0487404,573.248407643312
"A","P",6,3,2.2432329,504.246284501061
"A","P",6,4,1.4148185,504.246284501061
"A","P",7,1,2.3795529,281.316348195329
"A","P",7,2,2.0530766,461.783439490446
"A","P",7,3,1.6726163,435.244161358811
"A","P",7,4,1.6075905,498.938428874735
"A","P",8,1,2.0828625,605.095541401274
"A","P",8,2,1.9665704,472.3991507431
"A","P",8,3,1.7247303,451.167728237792
"A","P",8,4,1.6432122,541.40127388535
"A","P",9,1,2.7446092,281.316348195329
"A","P",9,2,1.6676214,748.407643312102
"A","P",9,3,1.5018722,371.549893842887
"A","P",9,4,1.3641339,382.165605095541
"A","P",10,1,2.0684722,350.31847133758
"A","P",10,2,2.0956437,658.174097664543
"A","P",10,3,2.2347054,382.165605095541
"A","P",10,4,1.9126974,419.32059447983
"A","P",11,1,2.9121282,291.932059447983
