date,week,species,treatment,trial,plant,leaf,stomata_count,fov_mm
8-Feb,1,P,C,1,1,1,5,0.2
8-Feb,1,P,C,1,1,1,6,0.2
8-Feb,1,P,C,1,1,1,4,0.2
8-Feb,1,P,C,1,1,2,9,0.2
8-Feb,1,P,C,1,1,2,6,0.2
8-Feb,1,P,C,1,1,2,5,0.2
8-Feb,1,P,C,1,2,1,8,0.2
8-Feb,1,P,C,1,2,1,7,0.2
8-Feb,1,P,C,1,2,1,7,0.2
8-Feb,1,P,C,1,2,2,4,0.2
8-Feb,1,P,C,1,2,2,7,0.2
8-Feb,1,P,C,1,2,2,5,0.2
8-Feb,1,P,C,1,3,1,6,0.2
8-Feb,1,P,C,1,3,1,9,0.2
8-Feb,1,P,C,1,3,1,7,0.2
8-Feb,1,P,C,1,3,2,7,0.2
8-Feb,1,P,C,1,3,2,4,0.2
8-Feb,1,P,C,1,3,2,3,0.2
8-Feb,1,P,C,1,4,1,8,0.2
8-Feb,1,P,C,1,4,1,7,0.2
8-Feb,1,P,C,1,4,1,7,0.2
8-Feb,1,P,C,1,4,2,6,0.2
8-Feb,1,P,C,1,4,2,5,0.2
8-Feb,1,P,C,1,4,2,6,0.2
8-Feb,1,P,C,1,5,1,8,0.2
8-Feb,1,P,C,1,5,1,8,0.2
8-Feb,1,P,C,1,5,1,10,0.2
8-Feb,1,P,C,1,5,2,7,0.2
8-Feb,1,P,C,1,5,2,5,0.2
8-Feb,1,P,C,1,5,2,6,0.2
8-Feb,1,P,C,1,6,1,6,0.2
8-Feb,1,P,C,1,6,1,4,0.2
8-Feb,1,P,C,1,6,1,5,0.2
8-Feb,1,P,C,1,6,2,3,0.2
8-Feb,1,P,C,1,6,2,5,0.2
8-Feb,1,P,C,1,6,2,5,0.2
8-Feb,1,P,C,1,7,1,12,0.2
8-Feb,1,P,C,1,7,1,11,0.2
8-Feb,1,P,C,1,7,1,13,0.2
8-Feb,1,P,C,1,7,2,15,0.2
8-Feb,1,P,C,1,7,2,16,0.2
8-Feb,1,P,C,1,7,2,18,0.2
8-Feb,1,P,C,1,8,1,10,0.2
8-Feb,1,P,C,1,8,1,8,0.2
8-Feb,1,P,C,1,8,1,11,0.2
8-Feb,1,P,C,1,8,2,9,0.2
8-Feb,1,P,C,1,8,2,7,0.2
8-Feb,1,P,C,1,8,2,8,0.2
8-Feb,1,P,C,1,9,1,8,0.2
8-Feb,1,P,C,1,9,1,10,0.2
8-Feb,1,P,C,1,9,1,9,0.2
8-Feb,1,P,C,1,9,2,10,0.2
8-Feb,1,P,C,1,9,2,7,0.2
8-Feb,1,P,C,1,9,2,9,0.2
8-Feb,1,P,C,1,10,1,8,0.2
8-Feb,1,P,C,1,10,1,9,0.2
8-Feb,1,P,C,1,10,1,10,0.2
8-Feb,1,P,C,1,10,2,6,0.2
8-Feb,1,P,C,1,10,2,9,0.2
8-Feb,1,P,C,1,10,2,7,0.2
8-Feb,1,P,A,1,1,1,9,0.2
8-Feb,1,P,A,1,1,1,9,0.2
8-Feb,1,P,A,1,1,1,7,0.2
8-Feb,1,P,A,1,1,2,7,0.2
8-Feb,1,P,A,1,1,2,6,0.2
8-Feb,1,P,A,1,1,2,7,0.2
8-Feb,1,P,A,1,2,1,10,0.2
8-Feb,1,P,A,1,2,1,8,0.2
8-Feb,1,P,A,1,2,1,9,0.2
8-Feb,1,P,A,1,2,2,9,0.2
8-Feb,1,P,A,1,2,2,9,0.2
8-Feb,1,P,A,1,2,2,11,0.2
8-Feb,1,P,A,1,3,1,19,0.2
8-Feb,1,P,A,1,3,1,14,0.2
8-Feb,1,P,A,1,3,1,18,0.2
8-Feb,1,P,A,1,3,2,22,0.2
8-Feb,1,P,A,1,3,2,28,0.2
8-Feb,1,P,A,1,3,2,20,0.2
8-Feb,1,P,A,1,4,1,18,0.2
8-Feb,1,P,A,1,4,1,19,0.2
8-Feb,1,P,A,1,4,1,22,0.2
8-Feb,1,P,A,1,4,2,15,0.2
8-Feb,1,P,A,1,4,2,15,0.2
8-Feb,1,P,A,1,4,2,16,0.2
8-Feb,1,P,A,1,5,1,21,0.2
8-Feb,1,P,A,1,5,1,19,0.2
8-Feb,1,P,A,1,5,1,22,0.2
8-Feb,1,P,A,1,5,2,14,0.2
8-Feb,1,P,A,1,5,2,18,0.2
8-Feb,1,P,A,1,5,2,15,0.2
8-Feb,1,P,A,1,6,1,19,0.2
8-Feb,1,P,A,1,6,1,21,0.2
8-Feb,1,P,A,1,6,1,22,0.2
8-Feb,1,P,A,1,6,2,11,0.2
8-Feb,1,P,A,1,6,2,14,0.2
8-Feb,1,P,A,1,6,2,12,0.2
8-Feb,1,P,A,1,7,1,7,0.2
8-Feb,1,P,A,1,7,1,9,0.2
8-Feb,1,P,A,1,7,1,8,0.2
8-Feb,1,P,A,1,7,2,10,0.2
8-Feb,1,P,A,1,7,2,8,0.2
8-Feb,1,P,A,1,7,2,11,0.2
8-Feb,1,P,A,1,8,1,22,0.2
8-Feb,1,P,A,1,8,1,24,0.2
8-Feb,1,P,A,1,8,1,21,0.2
8-Feb,1,P,A,1,8,2,15,0.2
8-Feb,1,P,A,1,8,2,14,0.2
8-Feb,1,P,A,1,8,2,18,0.2
8-Feb,1,P,A,1,9,1,7,0.2
8-Feb,1,P,A,1,9,1,8,0.2
8-Feb,1,P,A,1,9,1,8,0.2
8-Feb,1,P,A,1,9,2,13,0.2
8-Feb,1,P,A,1,9,2,7,0.2
8-Feb,1,P,A,1,9,2,10,0.2
8-Feb,1,P,A,1,10,1,6,0.2
8-Feb,1,P,A,1,10,1,7,0.2
8-Feb,1,P,A,1,10,1,12,0.2
8-Feb,1,P,A,1,10,2,13,0.2
8-Feb,1,P,A,1,10,2,13,0.2
8-Feb,1,P,A,1,10,2,15,0.2
15-Feb,2,P,C,1,1,1,20,0.2
15-Feb,2,P,C,1,1,1,23,0.2
15-Feb,2,P,C,1,1,1,21,0.2
15-Feb,2,P,C,1,1,2,13,0.2
15-Feb,2,P,C,1,1,2,15,0.2
15-Feb,2,P,C,1,1,2,14,0.2
15-Feb,2,P,C,1,2,1,20,0.2
15-Feb,2,P,C,1,2,1,21,0.2
15-Feb,2,P,C,1,2,1,21,0.2
15-Feb,2,P,C,1,2,2,16,0.2
15-Feb,2,P,C,1,2,2,18,0.2
15-Feb,2,P,C,1,2,2,17,0.2
15-Feb,2,P,C,1,3,1,22,0.2
15-Feb,2,P,C,1,3,1,22,0.2
15-Feb,2,P,C,1,3,1,27,0.2
15-Feb,2,P,C,1,3,2,18,0.2
15-Feb,2,P,C,1,3,2,17,0.2
15-Feb,2,P,C,1,3,2,19,0.2
15-Feb,2,P,C,1,4,1,10,0.2
15-Feb,2,P,C,1,4,1,9,0.2
15-Feb,2,P,C,1,4,1,11,0.2
15-Feb,2,P,C,1,4,2,21,0.2
15-Feb,2,P,C,1,4,2,28,0.2
15-Feb,2,P,C,1,4,2,32,0.2
15-Feb,2,P,C,1,5,1,19,0.2
15-Feb,2,P,C,1,5,1,20,0.2
15-Feb,2,P,C,1,5,1,20,0.2
15-Feb,2,P,C,1,5,2,12,0.2
15-Feb,2,P,C,1,5,2,17,0.2
15-Feb,2,P,C,1,5,2,15,0.2
15-Feb,2,P,C,1,6,1,18,0.2
15-Feb,2,P,C,1,6,1,24,0.2
15-Feb,2,P,C,1,6,1,25,0.2
15-Feb,2,P,C,1,6,2,16,0.2
15-Feb,2,P,C,1,6,2,14,0.2
15-Feb,2,P,C,1,6,2,14,0.2
15-Feb,2,P,C,1,7,1,6,0.2
15-Feb,2,P,C,1,7,1,6,0.2
15-Feb,2,P,C,1,7,1,7,0.2
15-Feb,2,P,C,1,7,2,26,0.2
15-Feb,2,P,C,1,7,2,21,0.2
15-Feb,2,P,C,1,7,2,21,0.2
15-Feb,2,P,C,1,8,1,24,0.2
15-Feb,2,P,C,1,8,1,24,0.2
15-Feb,2,P,C,1,8,1,21,0.2
15-Feb,2,P,C,1,8,2,16,0.2
15-Feb,2,P,C,1,8,2,16,0.2
15-Feb,2,P,C,1,8,2,21,0.2
15-Feb,2,P,C,1,9,1,9,0.2
15-Feb,2,P,C,1,9,1,12,0.2
15-Feb,2,P,C,1,9,1,15,0.2
15-Feb,2,P,C,1,9,2,15,0.2
15-Feb,2,P,C,1,9,2,17,0.2
15-Feb,2,P,C,1,9,2,21,0.2
15-Feb,2,P,C,1,10,1,10,0.2
15-Feb,2,P,C,1,10,1,12,0.2
15-Feb,2,P,C,1,10,1,14,0.2
15-Feb,2,P,C,1,10,2,24,0.2
15-Feb,2,P,C,1,10,2,21,0.2
15-Feb,2,P,C,1,10,2,24,0.2
15-Feb,2,P,A,1,1,1,12,0.2
15-Feb,2,P,A,1,1,1,10,0.2
15-Feb,2,P,A,1,1,1,12,0.2
15-Feb,2,P,A,1,1,2,19,0.2
15-Feb,2,P,A,1,1,2,13,0.2
15-Feb,2,P,A,1,1,2,13,0.2
15-Feb,2,P,A,1,2,1,8,0.2
15-Feb,2,P,A,1,2,1,12,0.2
15-Feb,2,P,A,1,2,1,12,0.2
15-Feb,2,P,A,1,2,2,19,0.2
15-Feb,2,P,A,1,2,2,17,0.2
15-Feb,2,P,A,1,2,2,17,0.2
15-Feb,2,P,A,1,3,1,13,0.2
15-Feb,2,P,A,1,3,1,23,0.2
15-Feb,2,P,A,1,3,1,18,0.2
15-Feb,2,P,A,1,3,2,20,0.2
15-Feb,2,P,A,1,3,2,18,0.2
15-Feb,2,P,A,1,3,2,17,0.2
15-Feb,2,P,A,1,4,1,13,0.2
15-Feb,2,P,A,1,4,1,14,0.2
15-Feb,2,P,A,1,4,1,14,0.2
15-Feb,2,P,A,1,4,2,10,0.2
15-Feb,2,P,A,1,4,2,9,0.2
15-Feb,2,P,A,1,4,2,11,0.2
15-Feb,2,P,A,1,5,1,15,0.2
15-Feb,2,P,A,1,5,1,15,0.2
15-Feb,2,P,A,1,5,1,18,0.2
15-Feb,2,P,A,1,5,2,17,0.2
15-Feb,2,P,A,1,5,2,16,0.2
15-Feb,2,P,A,1,5,2,18,0.2
15-Feb,2,P,A,1,6,1,17,0.2
15-Feb,2,P,A,1,6,1,15,0.2
15-Feb,2,P,A,1,6,1,14,0.2
15-Feb,2,P,A,1,6,2,21,0.2
15-Feb,2,P,A,1,6,2,20,0.2
15-Feb,2,P,A,1,6,2,21,0.2
15-Feb,2,P,A,1,7,1,15,0.2
15-Feb,2,P,A,1,7,1,18,0.2
15-Feb,2,P,A,1,7,1,17,0.2
15-Feb,2,P,A,1,7,2,13,0.2
15-Feb,2,P,A,1,7,2,10,0.2
15-Feb,2,P,A,1,7,2,14,0.2
15-Feb,2,P,A,1,8,1,12,0.2
15-Feb,2,P,A,1,8,1,15,0.2
15-Feb,2,P,A,1,8,1,12,0.2
15-Feb,2,P,A,1,8,2,19,0.2
15-Feb,2,P,A,1,8,2,14,0.2
15-Feb,2,P,A,1,8,2,17,0.2
15-Feb,2,P,A,1,9,1,20,0.2
15-Feb,2,P,A,1,9,1,23,0.2
15-Feb,2,P,A,1,9,1,23,0.2
15-Feb,2,P,A,1,9,2,26,0.2
15-Feb,2,P,A,1,9,2,24,0.2
15-Feb,2,P,A,1,9,2,25,0.2
15-Feb,2,P,A,1,10,1,22,0.2
15-Feb,2,P,A,1,10,1,27,0.2
15-Feb,2,P,A,1,10,1,23,0.2
15-Feb,2,P,A,1,10,2,15,0.2
15-Feb,2,P,A,1,10,2,17,0.2
15-Feb,2,P,A,1,10,2,20,0.2
22-Feb,3,P,C,1,1,1,12,0.2
22-Feb,3,P,C,1,1,1,10,0.2
22-Feb,3,P,C,1,1,1,12,0.2
22-Feb,3,P,C,1,1,2,22,0.2
22-Feb,3,P,C,1,1,2,25,0.2
22-Feb,3,P,C,1,1,2,24,0.2
22-Feb,3,P,C,1,2,1,14,0.2
22-Feb,3,P,C,1,2,1,12,0.2
22-Feb,3,P,C,1,2,1,14,0.2
22-Feb,3,P,C,1,2,2,23,0.2
22-Feb,3,P,C,1,2,2,18,0.2
22-Feb,3,P,C,1,2,2,19,0.2
22-Feb,3,P,C,1,3,1,12,0.2
22-Feb,3,P,C,1,3,1,11,0.2
22-Feb,3,P,C,1,3,1,10,0.2
22-Feb,3,P,C,1,3,2,20,0.2
22-Feb,3,P,C,1,3,2,21,0.2
22-Feb,3,P,C,1,3,2,24,0.2
22-Feb,3,P,C,1,4,1,8,0.2
22-Feb,3,P,C,1,4,1,13,0.2
22-Feb,3,P,C,1,4,1,15,0.2
22-Feb,3,P,C,1,4,2,21,0.2
22-Feb,3,P,C,1,4,2,25,0.2
22-Feb,3,P,C,1,4,2,24,0.2
22-Feb,3,P,C,1,5,1,12,0.2
22-Feb,3,P,C,1,5,1,13,0.2
22-Feb,3,P,C,1,5,1,12,0.2
22-Feb,3,P,C,1,5,2,14,0.2
22-Feb,3,P,C,1,5,2,17,0.2
22-Feb,3,P,C,1,5,2,16,0.2
22-Feb,3,P,C,1,6,1,10,0.2
22-Feb,3,P,C,1,6,1,13,0.2
22-Feb,3,P,C,1,6,1,13,0.2
22-Feb,3,P,C,1,6,2,14,0.2
22-Feb,3,P,C,1,6,2,17,0.2
22-Feb,3,P,C,1,6,2,14,0.2
22-Feb,3,P,C,1,7,1,10,0.2
22-Feb,3,P,C,1,7,1,13,0.2
22-Feb,3,P,C,1,7,1,10,0.2
22-Feb,3,P,C,1,7,2,14,0.2
22-Feb,3,P,C,1,7,2,15,0.2
22-Feb,3,P,C,1,7,2,14,0.2
22-Feb,3,P,C,1,8,1,18,0.2
22-Feb,3,P,C,1,8,1,12,0.2
22-Feb,3,P,C,1,8,1,16,0.2
22-Feb,3,P,C,1,8,2,11,0.2
22-Feb,3,P,C,1,8,2,13,0.2
22-Feb,3,P,C,1,8,2,12,0.2
22-Feb,3,P,C,1,9,1,7,0.2
22-Feb,3,P,C,1,9,1,10,0.2
22-Feb,3,P,C,1,9,1,8,0.2
22-Feb,3,P,C,1,9,2,15,0.2
22-Feb,3,P,C,1,9,2,13,0.2
22-Feb,3,P,C,1,9,2,14,0.2
22-Feb,3,P,C,1,10,1,28,0.2
22-Feb,3,P,C,1,10,1,33,0.2
22-Feb,3,P,C,1,10,1,30,0.2
22-Feb,3,P,C,1,10,2,17,0.2
22-Feb,3,P,C,1,10,2,15,0.2
22-Feb,3,P,C,1,10,2,17,0.2
22-Feb,3,P,A,1,1,1,10,0.2
22-Feb,3,P,A,1,1,1,16,0.2
22-Feb,3,P,A,1,1,1,18,0.2
22-Feb,3,P,A,1,1,2,10,0.2
22-Feb,3,P,A,1,1,2,19,0.2
22-Feb,3,P,A,1,1,2,15,0.2
22-Feb,3,P,A,1,2,1,13,0.2
22-Feb,3,P,A,1,2,1,14,0.2
22-Feb,3,P,A,1,2,1,13,0.2
22-Feb,3,P,A,1,2,2,16,0.2
22-Feb,3,P,A,1,2,2,19,0.2
22-Feb,3,P,A,1,2,2,17,0.2
22-Feb,3,P,A,1,3,1,10,0.2
22-Feb,3,P,A,1,3,1,14,0.2
22-Feb,3,P,A,1,3,1,14,0.2
22-Feb,3,P,A,1,3,2,17,0.2
22-Feb,3,P,A,1,3,2,15,0.2
22-Feb,3,P,A,1,3,2,15,0.2
22-Feb,3,P,A,1,4,1,13,0.2
22-Feb,3,P,A,1,4,1,11,0.2
22-Feb,3,P,A,1,4,1,11,0.2
22-Feb,3,P,A,1,4,2,14,0.2
22-Feb,3,P,A,1,4,2,14,0.2
22-Feb,3,P,A,1,4,2,12,0.2
22-Feb,3,P,A,1,5,1,18,0.2
22-Feb,3,P,A,1,5,1,14,0.2
22-Feb,3,P,A,1,5,1,13,0.2
22-Feb,3,P,A,1,5,2,15,0.2
22-Feb,3,P,A,1,5,2,12,0.2
22-Feb,3,P,A,1,5,2,13,0.2
22-Feb,3,P,A,1,6,1,13,0.2
22-Feb,3,P,A,1,6,1,14,0.2
22-Feb,3,P,A,1,6,1,12,0.2
22-Feb,3,P,A,1,6,2,17,0.2
22-Feb,3,P,A,1,6,2,20,0.2
22-Feb,3,P,A,1,6,2,19,0.2
22-Feb,3,P,A,1,7,1,13,0.2
22-Feb,3,P,A,1,7,1,13,0.2
22-Feb,3,P,A,1,7,1,16,0.2
22-Feb,3,P,A,1,7,2,13,0.2
22-Feb,3,P,A,1,7,2,13,0.2
22-Feb,3,P,A,1,7,2,14,0.2
22-Feb,3,P,A,1,8,1,14,0.2
22-Feb,3,P,A,1,8,1,16,0.2
22-Feb,3,P,A,1,8,1,16,0.2
22-Feb,3,P,A,1,8,2,16,0.2
22-Feb,3,P,A,1,8,2,13,0.2
22-Feb,3,P,A,1,8,2,10,0.2
22-Feb,3,P,A,1,9,1,11,0.2
22-Feb,3,P,A,1,9,1,12,0.2
22-Feb,3,P,A,1,9,1,12,0.2
22-Feb,3,P,A,1,9,2,11,0.2
22-Feb,3,P,A,1,9,2,9,0.2
22-Feb,3,P,A,1,9,2,15,0.2
22-Feb,3,P,A,1,10,1,12,0.2
22-Feb,3,P,A,1,10,1,12,0.2
22-Feb,3,P,A,1,10,1,10,0.2
22-Feb,3,P,A,1,10,2,10,0.2
22-Feb,3,P,A,1,10,2,14,0.2
22-Feb,3,P,A,1,10,2,14,0.2
1-Mar,4,P,C,1,1,1,17,0.2
1-Mar,4,P,C,1,1,1,21,0.2
1-Mar,4,P,C,1,1,1,18,0.2
1-Mar,4,P,C,1,1,2,14,0.2
1-Mar,4,P,C,1,1,2,16,0.2
1-Mar,4,P,C,1,1,2,14,0.2
1-Mar,4,P,C,1,2,1,17,0.2
1-Mar,4,P,C,1,2,1,20,0.2
1-Mar,4,P,C,1,2,1,24,0.2
1-Mar,4,P,C,1,2,2,12,0.2
1-Mar,4,P,C,1,2,2,11,0.2
1-Mar,4,P,C,1,2,2,14,0.2
1-Mar,4,P,C,1,3,1,13,0.2
1-Mar,4,P,C,1,3,1,11,0.2
1-Mar,4,P,C,1,3,1,11,0.2
1-Mar,4,P,C,1,3,2,21,0.2
1-Mar,4,P,C,1,3,2,20,0.2
1-Mar,4,P,C,1,3,2,17,0.2
1-Mar,4,P,C,1,4,1,16,0.2
1-Mar,4,P,C,1,4,1,14,0.2
1-Mar,4,P,C,1,4,1,15,0.2
1-Mar,4,P,C,1,4,2,10,0.2
1-Mar,4,P,C,1,4,2,14,0.2
1-Mar,4,P,C,1,4,2,15,0.2
1-Mar,4,P,C,1,5,1,21,0.2
1-Mar,4,P,C,1,5,1,20,0.2
1-Mar,4,P,C,1,5,1,19,0.2
1-Mar,4,P,C,1,5,2,14,0.2
1-Mar,4,P,C,1,5,2,17,0.2
1-Mar,4,P,C,1,5,2,21,0.2
1-Mar,4,P,C,1,6,1,18,0.2
1-Mar,4,P,C,1,6,1,16,0.2
1-Mar,4,P,C,1,6,1,24,0.2
1-Mar,4,P,C,1,6,2,10,0.2
1-Mar,4,P,C,1,6,2,11,0.2
1-Mar,4,P,C,1,6,2,12,0.2
1-Mar,4,P,C,1,7,1,15,0.2
1-Mar,4,P,C,1,7,1,17,0.2
1-Mar,4,P,C,1,7,1,15,0.2
1-Mar,4,P,C,1,7,2,17,0.2
1-Mar,4,P,C,1,7,2,20,0.2
1-Mar,4,P,C,1,7,2,22,0.2
1-Mar,4,P,C,1,8,1,13,0.2
1-Mar,4,P,C,1,8,1,12,0.2
1-Mar,4,P,C,1,8,1,12,0.2
1-Mar,4,P,C,1,8,2,23,0.2
1-Mar,4,P,C,1,8,2,19,0.2
1-Mar,4,P,C,1,8,2,20,0.2
1-Mar,4,P,C,1,9,1,14,0.2
1-Mar,4,P,C,1,9,1,14,0.2
1-Mar,4,P,C,1,9,1,14,0.2
1-Mar,4,P,C,1,9,2,23,0.2
1-Mar,4,P,C,1,9,2,20,0.2
1-Mar,4,P,C,1,9,2,22,0.2
1-Mar,4,P,C,1,10,1,12,0.2
1-Mar,4,P,C,1,10,1,13,0.2
1-Mar,4,P,C,1,10,1,11,0.2
1-Mar,4,P,C,1,10,2,19,0.2
1-Mar,4,P,C,1,10,2,17,0.2
1-Mar,4,P,C,1,10,2,15,0.2
1-Mar,4,P,A,1,1,1,12,0.2
1-Mar,4,P,A,1,1,1,14,0.2
1-Mar,4,P,A,1,1,1,18,0.2
1-Mar,4,P,A,1,1,2,18,0.2
1-Mar,4,P,A,1,1,2,26,0.2
1-Mar,4,P,A,1,1,2,16,0.2
1-Mar,4,P,A,1,2,1,14,0.2
1-Mar,4,P,A,1,2,1,17,0.2
1-Mar,4,P,A,1,2,1,14,0.2
1-Mar,4,P,A,1,2,2,17,0.2
1-Mar,4,P,A,1,2,2,17,0.2
1-Mar,4,P,A,1,2,2,17,0.2
1-Mar,4,P,A,1,3,1,9,0.2
1-Mar,4,P,A,1,3,1,10,0.2
1-Mar,4,P,A,1,3,1,11,0.2
1-Mar,4,P,A,1,3,2,28,0.2
1-Mar,4,P,A,1,3,2,22,0.2
1-Mar,4,P,A,1,3,2,25,0.2
1-Mar,4,P,A,1,4,1,8,0.2
1-Mar,4,P,A,1,4,1,15,0.2
1-Mar,4,P,A,1,4,1,12,0.2
1-Mar,4,P,A,1,4,2,13,0.2
1-Mar,4,P,A,1,4,2,21,0.2
1-Mar,4,P,A,1,4,2,17,0.2
1-Mar,4,P,A,1,5,1,14,0.2
1-Mar,4,P,A,1,5,1,13,0.2
1-Mar,4,P,A,1,5,1,13,0.2
1-Mar,4,P,A,1,5,2,16,0.2
1-Mar,4,P,A,1,5,2,16,0.2
1-Mar,4,P,A,1,5,2,18,0.2
